color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes,languange
color,martin scorsese,240,116866727,biography,the wolf of wall street,2013,english,USA,100000000,8.2,leonardo dicapriomatthew mcconaugheyjon favreau,138000,english
color,martin scorsese,240,116866727,comedy,the wolf of wall street,2013,english,USA,100000000,8.2,leonardo dicapriomatthew mcconaugheyjon favreau,138000,english
color,martin scorsese,240,116866727,crime,the wolf of wall street,2013,english,USA,100000000,8.2,leonardo dicapriomatthew mcconaugheyjon favreau,138000,english
color,martin scorsese,240,116866727,drama,the wolf of wall street,2013,english,USA,100000000,8.2,leonardo dicapriomatthew mcconaugheyjon favreau,138000,english
color,shane black,195,408992272,action,iron man 3,2013,english,USA,200000000,7.2,robert downey jrjon favreaudon cheadle,95000,english
color,shane black,195,408992272,adventure,iron man 3,2013,english,USA,200000000,7.2,robert downey jrjon favreaudon cheadle,95000,english
color,shane black,195,408992272,scifi,iron man 3,2013,english,USA,200000000,7.2,robert downey jrjon favreaudon cheadle,95000,english
color ,quentin tarantino,187,54116191,crime,the hateful eight,2015,english,USA,44000000,7.9,craig starkjennifer jason leighzoë bell,114000,english
color ,quentin tarantino,187,54116191,drama,the hateful eight,2015,english,USA,44000000,7.9,craig starkjennifer jason leighzoë bell,114000,english
color ,quentin tarantino,187,54116191,mystery,the hateful eight,2015,english,USA,44000000,7.9,craig starkjennifer jason leighzoë bell,114000,english
color ,quentin tarantino,187,54116191,thriller,the hateful eight,2015,english,USA,44000000,7.9,craig starkjennifer jason leighzoë bell,114000,english
color ,quentin tarantino,187,54116191,western,the hateful eight,2015,english,USA,44000000,7.9,craig starkjennifer jason leighzoë bell,114000,english
color,kenneth lonergan,186,46495,drama,margaret,2011,english,usa,14000000,6.5,matt damonkieran culkinjohn gallagher jr,0,english
color,peter jackson,186,258355354,adventure,the hobbit the desolation of smaug,2013,english,USA,225000000,7.9,aidan turneradam brownjames nesbitt,83000,english
color,peter jackson,186,258355354,fantasy,the hobbit the desolation of smaug,2013,english,USA,225000000,7.9,aidan turneradam brownjames nesbitt,83000,english
,,183,330249062,action,batman v superman dawn of justice,202,english,USA,250000000,6.9,henry cavilllauren cohanalan d purwin,197000,english
,,183,330249062,adventure,batman v superman dawn of justice,202,english,USA,250000000,6.9,henry cavilllauren cohanalan d purwin,197000,english
,,183,330249062,scifi,batman v superman dawn of justice,202,english,USA,250000000,6.9,henry cavilllauren cohanalan d purwin,197000,english
color,peter jackson,-50,303001229,adventure,the hobbit an unexpected journey,2012,english,USA,180000000,7.9,aidan turneradam brownjames nesbitt,166000,english
color,peter jackson,-50,303001229,fantasy,the hobbit an unexpected journey,2012,english,USA,180000000,7.9,aidan turneradam brownjames nesbitt,166000,english
